Parsing predictions in file zero_shot/relevant/relevant_Llama-3.1-8B-Instruct_06-09-06.csv for task Relevant
Parsing predictions in file zero_shot/relevant/relevant_Llama-2-13b-chat-hf_27-09-27.csv for task Relevant
	Error parsing prediction for row with id 159 : list index out of range
	Error parsing prediction for row with id 4031 : Could not parse prediction: Based on the title and abstract of the research paper, the study is not relevant for the task. The study is a statistical analysis plan for a randomized clinical trial to evaluate the efficacy and safety of ethosuximide in patients with treatment-resistant depression, and it does not involve the use of psychedelic substances
	Error parsing prediction for row with id 4030 : Could not parse prediction: Sure, I'd be happy to help! Based on the title and abstract of the research paper you provided, I would classify it as irrelevant for the task of classifying studies on the use of psychedelic substances in humans. The study does not investigate the use of psychedelic substances in humans, but rather the use
	Error parsing prediction for row with id 3858 : Could not parse prediction: Based on the title and abstract of the research paper you provided, I would classify it as irrelevant for the task of classifying studies on the use of psychedelic substances in humans. The study does not investigate the use of psychedelic substances in humans, but rather compares different dosages of ketamine and prop
	Error parsing prediction for row with id 6130 : Could not parse prediction: Based on the information provided, the study is relevant because it discusses the use of psychedelic substances in humans, specifically morphine and ketamine, in the context of cardiac arrest and their potential neuroprotective effects. The study also mentions the importance of conserving ATP in the brain during cardiac arrest and the
	Error parsing prediction for row with id 1114 : Could not parse prediction: Sure, I can help you with that! Based on the title and abstract of the research paper you provided, I would classify it as irrelevant. The study does not investigate the use of psychedelic substances in humans, but rather the enantioselective quantitation of the ecstasy compound and its metabolites in human
	Error parsing prediction for row with id 155 : Could not parse prediction: Based on the provided information, I would classify this study as relevant. The study involves the use of psychedelic substances (MDMA and psilocybin) in humans, specifically for the treatment of obsessive-compulsive disorder (OCD). The study meets the inclusion criteria for relevance as it involves the use
	Error parsing prediction for row with id 3122 : Could not parse prediction: Sure, I'd be happy to help! Based on the title and abstract of the research paper you provided, I would classify it as irrelevant for the task at hand. The study does not investigate the use of psychedelic substances in humans, and instead focuses on comorbidity between DSM-IV drug use disorders
	Error parsing prediction for row with id 148 : 'Based on the provided title and abstract, the study is relevant for the following reasons'
	Error parsing prediction for row with id 6297 : Label  not found in label2int mapping.
	Error parsing prediction for row with id 343 : "Sure, I'd be happy to help! Based on the title and abstract you provided, I would classify this study as irrelevant for the following reasons"
	Error parsing prediction for row with id 6592 : "Sure, I'd be happy to help! Based on the title and abstract you provided, I would classify this study as relevant. Here's my reasoning"
	Error parsing prediction for row with id 9559 : Could not parse prediction: Sure, I'd be happy to help! Based on the title and abstract of the research paper you provided, I would classify it as irrelevant for the task of classifying studies on the use of psychedelic substances in humans. The study does not investigate the use of any psychedelic substances, but rather the pharm
	Error parsing prediction for row with id 5248 : "Sure, I'd be happy to help! Based on the title and abstract you provided, I would classify this study as irrelevant. Here's my reasoning"
	Error parsing prediction for row with id 1537 : Could not parse prediction: Sure, I'd be happy to help! Based on the title and abstract of the research paper you provided, I would classify it as irrelevant for the task at hand. The study does not investigate the use of psychedelic substances in humans, and instead focuses on the use of intramuscular ketamine as a
Parsing predictions in file zero_shot/relevant/relevant_Med-LLaMA3-8B_06-09-06.csv for task Relevant
	Error parsing prediction for row with id 1951 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 5697 : Could not parse prediction: 1,1,0
	Error parsing prediction for row with id 7650 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 1714 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 863 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 8496 : Could not parse prediction: 1, 0, 0

***EXAMPLES***
	Error parsing prediction for row with id 5316 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 75 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 612 : Could not parse prediction: 1, 0, 0, 0
	Error parsing prediction for row with id 4238 : Could not parse prediction: 1, 0, 0
	Error parsing prediction for row with id 4094 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 6106 : Could not parse prediction: 1.0, 0.0
	Error parsing prediction for row with id 9522 : Could not parse prediction: 1, 0, 0, 1
	Error parsing prediction for row with id 8561 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 2498 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 563 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0
	Error parsing prediction for row with id 8428 : Could not parse prediction: 1, 0, 0
	Error parsing prediction for row with id 4125 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 3734 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 9401 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 3978 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 872 : Could not parse prediction: 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
	Error parsing prediction for row with id 4678 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 2384 : Could not parse prediction: 1.0

***TESTING***

The test set is a subset of the training set. The test set is not included in the training set. The test set is not used for training. The test set is used for testing only. The test set is not used for training or testing. The test set is not used for training or
	Error parsing prediction for row with id 7664 : Could not parse prediction: 1, 0, 0, 1, 1
	Error parsing prediction for row with id 679 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 3893 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 149 : Label 1. irrelevant not found in label2int mapping.
	Error parsing prediction for row with id 4100 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 7282 : Could not parse prediction: 1, 0, 0
	Error parsing prediction for row with id 5890 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 1394 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 4030 : Could not parse prediction: 0, 1, 0, 1
	Error parsing prediction for row with id 9056 : Could not parse prediction: 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 7713 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 9306 : Could not parse prediction: 1, 0, 0, 0, 0
	Error parsing prediction for row with id 8232 : Could not parse prediction: 0, 1, 0, 0, 0, 0, 0, 0
	Error parsing prediction for row with id 4751 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 2099 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 1689 : Could not parse prediction: 1, 0, 0
	Error parsing prediction for row with id 7030 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 2051 : Could not parse prediction: 1, 0, 0
	Error parsing prediction for row with id 4194 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 6290 : Could not parse prediction: 1, 0, 0
	Error parsing prediction for row with id 8498 : Could not parse prediction: 1, 0, 1
	Error parsing prediction for row with id 1114 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 9430 : Could not parse prediction: 1, 0, 1
	Error parsing prediction for row with id 2276 : Could not parse prediction: 1, 0, 0, 0
	Error parsing prediction for row with id 3524 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 5586 : Could not parse prediction: 0, 0, 0, 0, 1
	Error parsing prediction for row with id 6297 : Label 1. Relevant not found in label2int mapping.
	Error parsing prediction for row with id 6797 : Could not parse prediction: 1, 0, 0
	Error parsing prediction for row with id 1452 : Could not parse prediction: 1, 0, 0
	Error parsing prediction for row with id 8031 : Could not parse prediction: 1, 0, 0
	Error parsing prediction for row with id 5387 : Could not parse prediction: 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
	Error parsing prediction for row with id 3740 : Could not parse prediction: 1, 0, 1, 1
	Error parsing prediction for row with id 7034 : Could not parse prediction: 1, 0, 1
	Error parsing prediction for row with id 343 : Could not parse prediction: 1, 0, 0
	Error parsing prediction for row with id 3613 : Could not parse prediction: 1, 0, 0
Parsing predictions in file zero_shot/relevant/relevant_Llama-2-70b-chat-hf_28-09-28.csv for task Relevant
	Error parsing prediction for row with id 6297 : Label  not found in label2int mapping.
Parsing predictions in file zero_shot/relevant/relevant_MeLLaMA-70B-chat_27-09-27.csv for task Relevant
	Error parsing prediction for row with id 6297 : Could not parse prediction: and S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S
Parsing predictions in file zero_shot/relevant/relevant_MeLLaMA-13B-chat_27-09-27.csv for task Relevant
	Error parsing prediction for row with id 2743 : Could not parse prediction: [/INST]
	Error parsing prediction for row with id 381 : Could not parse prediction: [/INST]
	Error parsing prediction for row with id 7027 : Could not parse prediction: This is an irrelevant study.
	Error parsing prediction for row with id 4853 : Could not parse prediction: [/INST]
	Error parsing prediction for row with id 6062 : Could not parse prediction: [/INST]
	Error parsing prediction for row with id 9636 : Could not parse prediction: [/INST]
	Error parsing prediction for row with id 6106 : 'Relevant'
	Error parsing prediction for row with id 2498 : Could not parse prediction: This is no relevant.
	Error parsing prediction for row with id 563 : Could not parse prediction: This is irrelevant.
	Error parsing prediction for row with id 4031 : Could not parse prediction: This is irrelevant.
	Error parsing prediction for row with id 1944 : Could not parse prediction: [/INST]
	Error parsing prediction for row with id 8091 : Could not parse prediction: [/INST]
	Error parsing prediction for row with id 6297 : Label  not found in label2int mapping.
	Error parsing prediction for row with id 1093 : list index out of range
Parsing predictions in file zero_shot/relevant/relevant_Meta-Llama-3-8B-Instruct_06-09-06.csv for task Relevant
Parsing predictions in file zero_shot/relevant/relevant_gpt-4o-mini_09-09-09.csv for task Relevant
Parsing predictions in file zero_shot/relevant/relevant_gpt-4o-2024-08-06_09-09-09.csv for task Relevant
Parsing predictions in file zero_shot/relevant/relevant_sft_llama3_8b_instruction_tuned_29-09-29.csv for task Relevant
